Date,Open,High,Low,Close
05/12/2021,"4,139.99","4,372.35","3,940.02","4,104.21"
05/11/2021,"3,885.92","4,140.00","3,781.66","4,140.00"
05/10/2021,"3,911.64","4,209.43","3,697.46","3,899.32"
05/09/2021,"3,854.53","3,980.33","3,734.16","3,909.82"
05/08/2021,"3,501.75","3,863.54","3,431.03","3,852.00"
05/07/2021,"3,468.09","3,588.14","3,366.78","3,501.77"
05/06/2021,"3,464.45","3,607.59","3,382.27","3,467.85"
05/05/2021,"3,405.35","3,484.01","3,215.17","3,467.44"
05/04/2021,"3,287.57","3,492.19","3,195.07","3,409.65"
05/03/2021,"2,969.00","3,339.24","2,936.40","3,288.00"
05/02/2021,"2,950.19","2,976.97","2,858.00","2,969.00"
05/01/2021,"2,763.92","2,951.00","2,743.26","2,949.51"
04/30/2021,"2,709.00","2,799.00","2,702.31","2,763.92"
04/29/2021,"2,711.17","2,799.99","2,675.41","2,712.80"
04/28/2021,"2,646.00","2,748.00","2,564.40","2,708.01"
04/27/2021,"2,458.30","2,680.29","2,431.60","2,649.25"
04/26/2021,"2,209.00","2,531.25","2,180.00","2,463.00"
04/25/2021,"2,298.15","2,355.54","2,166.72","2,214.89"
04/24/2021,"2,324.98","2,370.26","2,162.01","2,295.99"
04/23/2021,"2,400.00","2,447.35","2,117.03","2,323.83"
